TS,Track V,Car V,Car I
1609459252463,12.512735,12.425009,5.766628
1609459252527,12.547826,12.460099,5.541039
1609459252591,12.609234,12.517122,5.283223
1609459252719,12.789072,0.600923,0.44715
1609459252783,12.802231,0.47372,1.188373
1609459252848,12.828549,0.350904,1.897368
1609459252912,12.683801,4.273076,4.832044
1609459252977,12.591689,4.935681,5.347677
1609459253040,12.591689,5.036566,5.31545
1609459253104,12.53028,5.83076,5.702174
1609459253232,12.28876,6.550113,6.926802
1609459253296,12.196648,7.432032,7.377981
1609459253453,12.275601,9.314302,6.991256
1609459253582,12.797845,0.530742,0.898329
1609459253646,12.837321,0.280723,2.348547
1609459253710,12.600461,4.404665,5.283223
1609459253838,12.306305,6.853041,6.830121
1609459253902,12.271214,7.976207,6.894575
1609459254032,12.258057,8.923648,7.05571
1609459254158,12.846095,3.070956,2.574136
1609459254286,12.872412,2.956913,3.73431
1609459254350,12.503963,5.804442,5.831082
1609459254478,12.301919,6.300094,6.797894
1609459254606,11.836971,9.573094,9.376059
1609459254671,12.08699,10.081904,8.15143
1609459254735,12.819777,6.598361,3.992126
1609459254863,12.815391,0.364063,1.832914
1609459254927,12.62678,4.536528,5.154314
1609459255089,12.587303,5.005862,5.379904
1609459255217,12.266829,5.870236,6.991256
1609459255281,11.784335,8.914875,9.569421
1609459255410,12.266829,12.179103,7.410208
1609459255475,12.381146,12.293147,6.765667
1609459255602,12.784686,0.570219,0.640513
1609459255730,12.705732,5.71233,4.76759
1609459255858,12.345782,7.958662,6.73344
1609459255986,12.25367,9.213417,7.184618
1609459256114,11.955401,11.85013,9.053787
1609459256242,12.363602,12.271214,6.862348
1609459256370,12.622394,12.547826,5.218769
1609459256498,12.832935,4.580391,2.316319
1609459256626,12.811005,5.707943,4.088807
1609459256754,12.62678,6.967085,5.186542
1609459256882,12.582915,7.046038,5.444358
1609459257048,12.398692,7.919186,6.443396
1609459257176,12.047514,10.906802,8.183658
1609459257304,12.135241,12.025582,7.893613
1609459257432,12.416237,12.341395,6.18558
1609459257560,12.574143,12.499578,5.412131
1609459257688,12.881186,6.782861,3.540947
1609459257816,12.811005,0.491265,1.027237
1609459257944,12.885571,2.548987,3.702083
1609459258072,12.512735,4.409051,5.831082
1609459258200,12.122081,7.10306,7.829159
1609459258329,12.266829,7.730301,6.959029
1609459258457,12.332623,8.892943,6.765667
1609459258585,12.802231,0.460561,1.285054
1609459258713,12.543439,4.611095,5.63772
1609459258841,12.310692,7.739074,6.73344
