TS,Track V,Car V,Car I
1609460583798,11.705382,7.809254,10.181734
1609460583926,12.073832,9.125691,8.344792
1609460584054,12.745210,3.575655,-0.100710
1609460584182,12.789072,2.241672,1.285054
1609460584310,12.819777,1.421434,2.155184
1609460584439,12.534667,4.040602,5.250996
1609460584567,12.854867,4.343256,3.540947
1609460584695,12.130853,4.474845,7.603570
1609460584823,11.999265,5.369925,8.505928
1609460584951,12.144012,6.466773,7.829159
1609460585080,12.811005,1.627590,1.961822
1609460585208,12.301919,3.878309,6.411169
1609460585336,12.082604,5.290971,7.861386
1609460585401,12.139627,5.527831,7.506889
1609460585529,12.723277,4.295007,4.284184
1609460585689,12.832935,1.469684,2.928633
1609460585753,12.578529,3.272726,4.928725
1609460585817,12.416237,3.562496,5.669947
1609460585881,12.266829,3.685312,6.636759
1609460585945,12.073832,4.474845,7.893613
1609460586073,11.836971,6.058847,9.279377
1609460586137,12.284373,5.957963,6.797894
1609460586201,12.793459,2.184650,1.413962
1609460586265,12.811005,1.653908,1.897368
1609460586393,12.863640,2.022357,3.540947
1609460586457,12.460099,3.149910,5.702174
1609460586521,12.258057,3.487929,6.668986
1609460586585,11.793109,5.001475,9.504967
1609460586714,11.810654,7.304830,9.698329
1609460586779,12.416237,6.989017,6.346715
1609460586946,12.863640,3.325362,3.573174
1609460587010,12.657484,4.567232,4.767590
1609460587074,12.530280,4.887432,5.412131
1609460587139,12.433783,4.510210,5.927763
1609460587203,12.271214,4.891818,6.701213
1609460587267,12.117695,5.527831,7.635797
1609460587395,11.731700,7.287285,10.149508
1609460587461,11.841358,8.024457,9.698329
1609460587587,12.038741,9.476596,8.699290
1609460587651,12.644324,8.375360,4.767590
1609460587715,12.753982,3.764265,-0.294072
1609460587779,12.780300,2.926209,0.543832
1609460587843,12.793459,2.382308,1.156146
1609460587909,12.762754,4.856728,4.219730
1609460588035,12.521508,4.589163,5.605493
1609460588227,12.038741,6.142187,8.248112
1609460588291,11.771177,7.138151,9.762783
1609460588419,11.744859,8.353429,10.085053
1609460588483,11.902765,9.108146,9.247149
1609460588618,12.863640,6.343956,3.540947
1609460588682,12.762754,3.281499,0.189334
1609460588810,12.802231,2.132015,1.478416
1609460588876,12.815391,1.649522,2.155184
1609460589002,12.850481,0.473720,3.121996
1609460589066,12.863640,0.736898,3.540947
1609460589195,12.433783,4.352029,6.121126
1609460589323,12.183489,3.588814,7.377981
1609460589451,12.003651,4.716366,8.344792
1609460589580,12.047514,5.391856,8.248112
1609460589708,12.802231,1.829360,1.736233
1609460589902,12.100150,4.918136,7.732478
1609460590028,12.126467,5.738647,7.474662
1609460590156,12.108922,5.966735,7.700251
1609460590284,12.802231,1.947790,1.575097
1609460590412,12.696960,3.430907,4.348638
1609460590540,12.113308,3.856378,7.506889
1609460590668,11.793109,5.668467,9.569421
1609460590796,12.354828,5.953577,6.346715
1609460590924,12.811005,1.588114,1.961822
1609460591052,12.591689,3.360452,4.896498
1609460591180,11.889607,4.782161,8.989333
1609460591308,11.872062,6.975858,9.376059
1609460591437,12.854867,4.619867,3.186450
1609460591565,12.854867,3.044639,3.379812
1609460591693,12.451327,4.650571,5.895536
1609460591885,12.152785,5.519058,7.410208
1609460592013,11.876449,6.778474,9.182695
1609460592141,11.999265,8.239386,8.602609
1609460592269,12.644324,7.752232,4.864271
1609460592397,12.780300,2.711280,0.769421
1609460592525,12.477645,5.721103,5.702174
1609460592653,12.486418,5.076043,5.541039
1609460592781,12.258057,5.238336,6.668986
1609460592910,11.889607,6.734337,9.021561
1609460593039,11.661519,8.427997,10.504004
1609460593167,12.073832,9.423960,8.377020
1609460593295,12.749596,3.957263,-0.422980
1609460593423,12.789072,2.373535,1.123919
1609460593551,12.819777,1.447752,2.155184
1609460593679,12.661870,3.049025,4.670908
1609460593871,12.008037,4.918136,8.441474
1609460593999,12.095762,5.835146,7.990295
1609460594127,12.815391,1.526706,2.058503
1609460594256,12.236124,4.474845,7.055710
1609460594384,12.117695,6.269390,7.571343
1609460594512,12.016810,6.234299,8.119204
1609460594642,12.811005,1.816201,1.768460
1609460594771,12.863640,2.303354,3.540947
1609460594899,12.394306,3.830060,6.121126
1609460595027,11.889607,4.826024,8.892653
1609460595155,12.231738,5.993053,7.345754
1609460595283,12.819777,1.631977,1.929595
1609460595411,12.626780,3.299044,4.993179
1609460595540,12.323850,4.053761,6.572305
1609460595668,11.670293,5.650922,10.342870
1609460595860,12.811005,6.164119,3.863218
1609460595990,12.793459,2.083765,1.478416
1609460596118,12.473259,4.817251,5.766628
1609460596246,12.161557,5.198859,6.926802
